SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0141.93.03.00002982;5891.8100;7891.82;2736;223;31/10/2014
0141.93.03.00002985;5201.7500;5201.72;2739;224;27/11/2014
0142.81.03.00000016;200.0000;2000;2741;225;13/04/2011
0142.93.03.00000328;77242.2100;65583;2754;226;06/10/2009
0142.93.03.00000345;2762.1800;5524.37;2757;227;21/02/2011
0142.93.03.00000371;3426.2700;16270.02;2761;228;13/04/2011
0142.93.03.00000403;2662.7700;2914.72;2764;229;04/05/2011
0142.93.03.00000447;6682.8700;6682.8;2774;230;14/12/2011
0142.93.03.00000481;5740.2200;5974.96;2793;231;11/12/2013
0142.93.03.00000484;56070.0000;28035;2796;232;31/01/2014
0142.93.03.00000506;4105.2600;8210.52;2810;233;29/09/2014
0143.81.03.00000062;2174.7500;1936.69;2824;234;                                                 29/01/2013
0143.81.03.00000067;2000.0000;1412.87;2827;235;26/06/2014
0143.93.03.00001185;2696.8800;2696.89;2869;236;14/06/2010
0143.93.03.00001237;37052.6600;37052.65;2873;237;29/04/2011
0143.93.03.00001297;9592.7300;9593.05;2896;238;22/09/2011
0143.93.03.00001306;14127.0200;10976.08;2903;239;27/09/2011
0143.93.03.00001331;10103.3300;10103.32;2913;240;18/11/2011
0143.93.03.00001356;7782.4700;7782.5;2921;241;18/04/2012
0143.93.03.00001377;13611.1200;13611.11;2932;242;14/08/2012
0143.93.03.00001385;7684.2100;7684.2;2939;243;29/09/2012
0143.93.03.00001403;9804.0900;9804;2948;244;23/10/2012
0143.93.03.00001408;36949.0800;32904.51;2952;245;29/01/2013
0143.93.03.00001413;12614.7100;6307.35;2957;246;24/04/2013
0143.93.03.00001420;2629.6300;2629.62;2962;247;30/04/2013
0143.93.03.00001447;10563.2100;12323.21;2982;248;06/08/2013
0143.93.03.00001465;2142.8400;2106.09;2995;249;28/03/2014
0143.93.03.00001471;7673.4900;7673.48;3001;250;24/04/2014
0143.93.03.00001473;10112.3600;16432.56;3003;251;19/05/2014
0143.93.03.00001475;7744.6400;7744.65;3005;252;29/04/2014
