SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0133.93.03.00005752;34.990.300;5499.03;1927;190;14/04/2014
0133.93.03.00005771;199.602.400;19280.24;1940;191;16/05/2014
0133.93.03.00005776;120.759.800;12075.48;1945;192;16/05/2014
0133.93.03.00005788;90.848.000;4542.4;1954;193;28/05/2014
0133.93.03.00005792;36.959.100;7391.81;1958;194;28/05/2014
0133.93.03.00005807;126.990.600;12699.05;1971;195;26/06/2014
0133.93.03.00005810;134.321.500;13432.14;1974;196;26/06/2014
0133.93.03.00005824;32.940.600;3294.08;1985;197;15/07/2014
0133.93.03.00005829;175.827.700;18461.91;1990;198;17/07/2014
0133.93.03.00005834;32.368.400;5236.84;1995;199;22/07/2014
0133.93.03.00005845;245.476.900;24547.86;2005;200;08/08/2014
0133.93.03.00005856;210.916.400;21088.74;2014;201;28/08/2014
0133.93.03.00005858;149.320.800;14922.2;2016;202;18/07/2014
0133.93.03.00005906;65.463.300;4564.32;2033;203;17/10/2014
0133.93.03.00005908;37.019.000;3701.88;2035;204;17/10/2014
0133.93.03.00005925;69.532.200;6953.21;2046;205;24/11/2014
0135.81.03.00000239;5.529.700;1681.7;2053;206;11/01/2011
0135.81.03.00000266;22.014.800;2000;2064;207;19/09/2013
0135.93.03.00002909;64.795.300;6479.52;2136;208;13/01/2011
0135.93.03.00002939;50.149.200;5014.62;2144;209;14/02/2011
0135.93.03.00002980;50.146.200;5014.61;2147;210;21/02/2011
0135.93.03.00002996;51.130.600;5113.08;2150;211;21/02/2011
0135.93.03.00003091;114.366.500;13436.65;2174;212;01/09/2010
0135.93.03.00003161;87.667.900;8766.78;2183;213;25/04/2011
0135.93.03.00003244;30.672.900;3067.28;2190;214;29/04/2011
0135.93.03.00003413;46.413.200;6641.33;2216;215;20/06/2011
0135.93.03.00003443;174.531.700;8726.59;2230;216;10/08/2011
0135.93.03.00003458;18.065.300;3613.06;2238;217;06/09/2011
0135.93.03.00003475;39.208.500;6920.85;2245;218;27/09/2011
0135.93.03.00003479;46.393.800;6959.07;2249;219;27/11/2011
0135.93.03.00003502;27.166.200;5433.24;2261;220;25/01/2012
0135.93.03.00003509;197.762.600;19766.26;2265;221;09/03/2012
0135.93.03.00003525;57.748.400;5774.86;2278;222;02/05/2012
0135.93.03.00003536;276.603.300;27657.81;2284;223;17/05/2012
0135.93.03.00003554;1.000.000;5014.62;2296;224;13/07/2012
0135.93.03.00003557;28.888.900;2889.89;2299;225;27/06/2012
0135.93.03.00003568;408.701.200;40870.13;2305;226;27/07/2012
0135.93.03.00003578;53.640.400;5365.04;2311;227;15/08/2012
0135.93.03.00003581;135.380.100;10153.51;2314;228;20/08/2012
0135.93.03.00003625;60.155.900;6015.6;2330;229;03/01/2013
0135.93.03.00003641;58.908.400;5890.86;2337;230;11/01/2013
0135.93.03.00003646;54.834.300;2741.72;2342;231;23/02/2013
0135.93.03.00003658;203.366.000;21656.6;2349;232;18/03/2013
0135.93.03.00003660;42.636.500;6527.29;2351;233;18/03/2013
0135.93.03.00003663;9.195.500;6023.39;2353;234;22/03/2013
0135.93.03.00003667;27.983.400;2854.34;2357;235;05/02/2013
0135.93.03.00003670;288.231.600;28823.15;2360;236;01/04/2013
0135.93.03.00003684;24.201.900;1210.1;2367;237;15/05/2013
0135.93.03.00003692;156.001.300;15600.14;2373;238;04/06/2013
0135.93.03.00003729;6.345.900;1269.17;2401;239;20/09/2013
0135.93.03.00003737;307.418.500;30243.85;2409;240;02/10/2013
0135.93.03.00003753;60.175.400;6017.53;2422;241;25/10/2013
0135.93.03.00003760;41.676.400;4167.59;2429;242;28/10/2013
0135.93.03.00003764;32.105.300;3210.52;2433;243;31/10/2013
0135.93.03.00003793;49.317.700;4937.77;2460;244;18/12/2013
0135.93.03.00003817;20.809.000;2080.89;2480;245;28/03/2014
0135.93.03.00003821;13.968.500;1269.01;2483;246;19/09/2013
0135.93.03.00003823;18.184.800;1652.05;2485;247;19/09/2013
0135.93.03.00003832;25.078.000;4879.2;2491;248;16/05/2014
0135.93.03.00003838;70.506.800;3525.34;2497;249;06/05/2014
0135.93.03.00003845;64.410.200;6441.01;2503;250;16/06/2014
0135.93.03.00003849;34.161.800;2846.82;2507;251;30/05/2014
0135.93.03.00003859;212.207.800;21220.79;2513;252;11/07/2014
0135.93.03.00003864;41.786.600;4178.64;2518;253;14/07/2014
0135.93.03.00003877;30.039.000;1501.95;2528;254;15/07/2014
0135.93.03.00003880;122.651.100;12265.1;2531;255;30/07/2014
0135.93.03.00003896;30.112.100;5011.21;2547;256;26/08/2014
0135.93.03.00003899;1.705.700;170.58;2549;257;25/07/2014
0135.93.03.00003901;147.926.100;14776.96;2551;258;28/08/2014
0135.93.03.00003904;56.812.900;5681.3;2554;259;02/09/2014
0135.93.03.00003907;125.748.600;12274.86;2557;260;05/09/2014
0135.93.03.00003938;56.812.900;5681.27;2575;261;10/12/2014
0141.93.03.00002853;89.619.900;10961.99;2667;262;01/11/2011
0141.93.03.00002866;39.688.100;5455.03;2676;263;04/04/2012
0141.93.03.00002887;42.943.500;4924.36;2679;264;06/09/2012
0141.93.03.00002937;25.121.800;5024.37;2706;265;02/10/2013
0141.93.03.00002940;205.042.100;20503.77;2709;266;21/11/2013
0141.93.03.00002942;67.924.000;6694.93;2711;267;28/11/2013
0141.93.03.00002951;2.860.600;572.14;2719;268;30/04/2014
0141.93.03.00002982;58.918.100;7891.82;2736;269;31/10/2014
0141.93.03.00002985;52.017.500;5201.72;2739;270;27/11/2014
0142.81.03.00000016;2.000.000;2000;2741;271;13/04/2011
0142.93.03.00000328;772.422.100;65583;2754;272;06/10/2009
0142.93.03.00000345;27.621.800;5524.37;2757;273;21/02/2011
0142.93.03.00000371;34.262.700;16270.02;2761;274;13/04/2011
0142.93.03.00000403;26.627.700;2914.72;2764;275;04/05/2011
0142.93.03.00000447;66.828.700;6682.8;2774;276;14/12/2011
0142.93.03.00000481;57.402.200;5974.96;2793;277;11/12/2013
0142.93.03.00000484;560.700.000;28035;2796;278;31/01/2014
0142.93.03.00000506;41.052.600;8210.52;2810;279;29/09/2014
0143.81.03.00000062;21.747.500;1936.69;2824;280;                                                 29/01/2013
0143.81.03.00000067;20.000.000;1412.87;2827;281;26/06/2014
0143.93.03.00001185;26.968.800;2696.89;2869;282;14/06/2010
0143.93.03.00001237;370.526.600;37052.65;2873;283;29/04/2011
0143.93.03.00001297;95.927.300;9593.05;2896;284;22/09/2011
0143.93.03.00001306;141.270.200;10976.08;2903;285;27/09/2011
0143.93.03.00001331;101.033.300;10103.32;2913;286;18/11/2011
0143.93.03.00001356;77.824.700;7782.5;2921;287;18/04/2012
0143.93.03.00001377;136.111.200;13611.11;2932;288;14/08/2012
0143.93.03.00001385;76.842.100;7684.2;2939;289;29/09/2012
0143.93.03.00001403;98.040.900;9804;2948;290;23/10/2012
0143.93.03.00001408;369.490.800;32904.51;2952;291;29/01/2013
0143.93.03.00001413;126.147.100;6307.35;2957;292;24/04/2013
0143.93.03.00001420;26.296.300;2629.62;2962;293;30/04/2013
0143.93.03.00001447;105.632.100;12323.21;2982;294;06/08/2013
0143.93.03.00001465;21.428.400;2106.09;2995;295;28/03/2014
0143.93.03.00001471;76.734.900;7673.48;3001;296;24/04/2014
0143.93.03.00001473;101.123.600;16432.56;3003;297;19/05/2014
0143.93.03.00001475;77.446.400;7744.65;3005;298;29/04/2014
0143.93.03.00001481;97.007.800;5189.08;3011;299;26/06/2014
0143.93.03.00001483;237.949.900;23749.45;3013;300;27/06/2014
0143.93.03.00001491;326.226.000;32622.9;3019;301;28/08/2014
0143.93.03.00001496;34.478.600;5447.86;3022;302;24/09/2014
0151.93.03.00000156;195.585.400;19560.26;3041;303;01/06/2009
0152.93.03.00000264;361.006.400;18050.32;3078;304;24/03/2011
0152.93.03.00000266;367.842.200;18734.55;3080;305;24/03/2011
0152.93.03.00000292;56.194.000;5619.42;3085;306;04/11/2011
0152.93.03.00000294;620.557.600;17123.99;3087;307;05/04/2012
0152.93.03.00000304;200.805.600;10040.28;3091;308;06/02/2013
0152.93.03.00000309;36.764.100;3676.4;3094;309;05/07/2013
0152.93.03.00000315;45.536.000;2276.8;3098;310;21/01/2014
0152.93.03.00000317;871.752.000;8717.52;3100;311;21/02/2014
0152.93.03.00000319;466.827.800;23341.39;3102;312;16/05/2014
0152.93.03.00000324;115.305.400;5765.27;3104;313;09/07/2014
0152.93.03.00000326;103.560.400;5178.02;3106;314;18/08/2014
0153.81.03.00000063;10.000.000;2000;3116;315;14/05/2012
0153.93.03.00001160;42.917.400;4291.68;3181;316;12/08/2010
0153.93.03.00001197;144.288.500;14428.84;3189;317;29/11/2010
0153.93.03.00001229;76.062.400;6857.64;3197;318;23/03/2011
0153.93.03.00001268;9.278.500;5198.83;3207;319;25/04/2011
0153.93.03.00001285;124.737.500;12473.74;3210;320;19/04/2010
0153.93.03.00001321;41.725.200;2980.36;3220;321;12/03/2009
0153.93.03.00001330;314.771.700;3271.17;3222;322;04/05/2011
0153.93.03.00001357;193.032.700;19303.47;3226;323;12/07/2007
0153.93.03.00001399;118.957.100;11895.22;3242;324;22/08/2011
0153.93.03.00001409;63.469.800;6346.97;3246;325;29/08/2011
0153.93.03.00001412;588.335.500;50428.76;3248;326;08/09/2011
0153.93.03.00001418;120.205.000;8170.25;3253;327;12/09/2011
0153.93.03.00001448;93.398.200;7180.31;3262;328;16/01/2012
0153.93.03.00001487;78.976.600;7897.68;3286;329;20/07/2012
0153.93.03.00001498;174.396.200;17439.45;3293;330;06/09/2012
0153.93.03.00001516;30.740.700;3074.03;3300;331;06/09/2012
0153.93.03.00001524;66.208.600;6620.87;3304;332;19/10/2012
0153.93.03.00001551;73.196.900;7319.7;3316;333;27/03/2013
0153.93.03.00001564;47.212.500;6721.25;3325;334;10/05/2013
0153.93.03.00001574;111.023.400;13102.34;3331;335;06/06/2013
0153.93.03.00001577;77.855.800;7785.57;3333;336;10/05/2013
0153.93.03.00001594;41.871.300;2392.64;3346;337;24/09/2013
0153.93.03.00001600;108.235.900;11213.45;3350;338;25/10/2013
0153.93.03.00001609;73.216.400;10982.46;3358;339;31/10/2013
