SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0153.93.03.00001285;12473.7500;12473.74;3210;350
0153.93.03.00001321;4172.5200;2980.36;3220;351
0153.93.03.00001330;31477.1700;3271.17;3222;352
0153.93.03.00001357;19303.2700;19303.47;3226;353
0153.93.03.00001399;11895.7100;11895.22;3242;354
0153.93.03.00001409;6346.9800;6346.97;3246;355
0153.93.03.00001412;58833.5500;50428.76;3248;356
0153.93.03.00001418;12020.5000;8170.25;3253;357
0153.93.03.00001448;9339.8200;7180.31;3262;358
0153.93.03.00001487;7897.6600;7897.68;3286;359
0153.93.03.00001498;17439.6200;17439.45;3293;360
0153.93.03.00001516;3074.0700;3074.03;3300;361
0153.93.03.00001524;6620.8600;6620.87;3304;362
0153.93.03.00001551;7319.6900;7319.7;3316;363
0153.93.03.00001564;4721.2500;6721.25;3325;364
0153.93.03.00001574;11102.3400;13102.34;3331;365
0153.93.03.00001577;7785.5800;7785.57;3333;366
0153.93.03.00001594;4187.1300;2392.64;3346;367
0153.93.03.00001600;10823.5900;11213.45;3350;368
0153.93.03.00001609;7321.6400;10982.46;3358;369
0153.93.03.00001629;6633.5300;8633.53;3373;370
0153.93.03.00001631;7773.8800;7773.87;3375;371
0153.93.03.00001634;8425.9300;8425.92;3378;372
0153.93.03.00001637;5183.2400;3702.34;3381;373
0153.93.03.00001641;10633.5300;12633.53;3384;374
0153.93.03.00001653;7768.0300;9768.03;3394;375
0153.93.03.00001655;11363.5500;11363.56;3396;376
0153.93.03.00001662;5975.6300;5691.03;3402;377
0153.93.03.00001666;1037.0400;3047.27;3406;378
0153.93.03.00001672;5148.1500;7148.15;3412;379
0153.93.03.00001695;8222.2200;8222.21;3433;380
0154.93.03.00000165;5197.8600;2598.93;3453;381
0154.93.03.00000170;2000.3100;2000.3;3456;382
0135.93.03.00002906;4549.7100;2184.88;3471;383
0142.93.03.00000331;12263.7900;8759.85;3473;384
0142.93.03.00000330;22130.7300;22130.69;3477;385
0141.93.03.00002353;3510.0000;1170;3487;386
0141.93.03.00002355;3510.0000;1170;3489;387
0135.93.03.00002917;2551.6600;4307.93;3496;388
0141.93.03.00002357;4212.0000;1404;3499;389
0124.93.03.00000416;18895.5100;18791.01;3504;390
0135.93.03.00002923;12118.4400;12118.18;3507;391
0141.93.03.00002363;9900.0000;4950;3511;392
0141.93.03.00002365;2808.0000;1404;3513;393
0115.93.03.00000380;2500.9700;2500.5;3516;394
0124.93.03.00000418;5191.0300;3191.03;3518;395
0126.93.03.00000764;519.4100;519.42;3520;396
0135.93.03.00002928;4306.0400;4306.03;3522;397
0133.93.03.00004023;10699.8100;8732.94;3524;398
0135.93.03.00002924;4490.2500;12726.52;3526;399
0133.93.03.00004031;18102.2000;18101.82;3534;400
0133.93.03.00004042;14647.1700;6317.74;3538;401
0141.93.03.00002384;6000.0000;3000;3544;402
0135.93.03.00002943;33519.2500;60519.25;3551;403
0123.93.03.00000558;3606.2400;3155.46;3561;404
0125.93.03.00000179;30111.6900;30111.67;3564;405
0133.93.03.00004093;1941.5200;1941.04;3581;406
0142.93.03.00000340;4074.2100;3994.29;3605;407
